iter	Passed	Remaining
0	178	177883
1	188	94164
2	197	65737
3	208	51816
4	217	43305
5	228	37810
6	238	33795
7	247	30661
8	259	28579
9	270	26771
10	279	25131
11	290	23932
12	301	22895
13	311	21939
14	323	21213
15	333	20538
16	344	19902
17	354	19357
18	366	18920
19	376	18472
20	387	18051
21	399	17751
22	414	17608
23	423	17229
24	437	17076
25	454	17014
26	468	16866
27	481	16713
28	496	16633
29	509	16473
30	522	16330
31	536	16222
32	549	16091
33	567	16124
34	580	16013
35	594	15918
36	613	15963
37	630	15951
38	640	15772
39	659	15837
40	682	15958
41	699	15959
42	715	15922
43	729	15855
44	743	15772
45	754	15654
46	769	15594
47	785	15569
48	798	15500
49	813	15450
50	829	15443
51	844	15398
52	859	15360
53	872	15286
54	881	15143
55	896	15118
56	912	15097
57	923	14994
58	933	14885
59	946	14827
60	956	14730
61	968	14656
62	977	14542
63	989	14477
64	1001	14403
65	1010	14300
66	1020	14216
67	1030	14117
68	1040	14033
69	1050	13962
70	1067	13971
71	1089	14043
72	1104	14024
73	1124	14076
74	1139	14053
75	1154	14041
76	1164	13956
77	1175	13889
78	1186	13834
79	1195	13749
80	1207	13704
81	1219	13653
82	1228	13573
83	1239	13514
84	1250	13459
85	1259	13386
86	1271	13343
87	1281	13285
88	1294	13251
89	1308	13231
90	1319	13175
91	1328	13114
92	1341	13080
93	1352	13031
94	1362	12976
95	1372	12925
96	1383	12881
97	1392	12819
98	1403	12773
99	1414	12733
100	1426	12695
101	1437	12654
102	1448	12616
103	1457	12560
104	1469	12522
105	1482	12503
106	1491	12446
107	1501	12403
108	1512	12361
109	1523	12328
110	1534	12287
111	1546	12259
112	1554	12205
113	1565	12166
114	1574	12116
115	1584	12076
116	1595	12039
117	1604	11991
118	1614	11953
119	1624	11909
120	1636	11891
121	1647	11860
122	1661	11846
123	1680	11871
124	1697	11882
125	1711	11868
126	1722	11841
127	1737	11834
128	1749	11814
129	1762	11796
130	1775	11780
131	1786	11748
132	1799	11728
133	1811	11709
134	1826	11702
135	1840	11695
136	1854	11682
137	1867	11664
138	1879	11643
139	1891	11617
140	1902	11587
141	1913	11561
142	1926	11544
143	1938	11522
144	1951	11506
145	1963	11485
146	1976	11468
147	1987	11443
148	1998	11415
149	2011	11396
150	2022	11374
151	2033	11347
152	2047	11335
153	2060	11316
154	2072	11297
155	2086	11287
156	2098	11267
157	2109	11243
158	2121	11221
159	2132	11193
160	2144	11173
161	2157	11158
162	2170	11143
163	2181	11118
164	2192	11096
165	2202	11065
166	2211	11030
167	2221	11002
168	2232	10979
169	2241	10945
170	2252	10920
171	2262	10891
172	2272	10864
173	2282	10835
174	2291	10802
175	2301	10775
176	2310	10742
177	2323	10729
178	2334	10706
179	2343	10676
180	2354	10652
181	2365	10630
182	2375	10607
183	2385	10579
184	2395	10555
185	2404	10523
186	2415	10500
187	2424	10471
188	2434	10445
189	2443	10416
190	2452	10389
191	2466	10379
192	2479	10368
193	2488	10340
194	2498	10313
195	2506	10283
196	2517	10261
197	2527	10239
198	2536	10209
199	2546	10186
200	2555	10159
201	2566	10139
202	2576	10115
203	2587	10096
204	2597	10073
205	2606	10047
206	2617	10026
207	2628	10006
208	2636	9979
209	2647	9958
210	2658	9939
211	2667	9913
212	2678	9895
213	2691	9884
214	2700	9858
215	2710	9837
216	2719	9812
217	2729	9791
218	2740	9773
219	2749	9748
220	2759	9727
221	2768	9703
222	2778	9680
223	2787	9655
224	2798	9640
225	2809	9622
226	2820	9604
227	2829	9581
228	2840	9562
229	2849	9538
230	2863	9531
231	2874	9514
232	2888	9510
233	2910	9526
234	2923	9518
235	2938	9511
236	2950	9498
237	2964	9490
238	2977	9479
239	2989	9468
240	3005	9466
241	3020	9460
242	3032	9447
243	3048	9443
244	3061	9434
245	3074	9423
246	3087	9412
247	3096	9389
248	3110	9382
249	3122	9366
250	3130	9342
251	3140	9323
252	3151	9305
253	3160	9283
254	3170	9263
255	3180	9242
256	3190	9224
257	3205	9219
258	3223	9223
259	3238	9216
260	3253	9211
261	3273	9222
262	3287	9211
263	3299	9199
264	3314	9193
265	3330	9189
266	3342	9176
267	3355	9166
268	3368	9154
269	3381	9142
270	3397	9139
271	3410	9128
272	3423	9117
273	3438	9111
274	3454	9106
275	3466	9093
276	3479	9081
277	3491	9067
278	3509	9068
279	3522	9059
280	3540	9058
281	3553	9047
282	3565	9034
283	3578	9020
284	3590	9007
285	3603	8996
286	3616	8983
287	3629	8973
288	3645	8968
289	3666	8975
290	3678	8962
291	3710	8995
292	3722	8982
293	3736	8971
294	3751	8965
295	3764	8953
296	3778	8942
297	3790	8929
298	3808	8929
299	3821	8916
300	3835	8906
301	3851	8901
302	3865	8891
303	3877	8877
304	3892	8869
305	3908	8864
306	3928	8868
307	3945	8863
308	3966	8869
309	3982	8863
310	3999	8860
311	4014	8853
312	4030	8845
313	4046	8840
314	4068	8847
315	4083	8839
316	4099	8832
317	4115	8826
318	4131	8820
319	4147	8812
320	4165	8811
321	4181	8803
322	4197	8798
323	4215	8795
324	4230	8786
325	4246	8779
